Context,Response
"They dont go away, and I feel like Im going crazy. Does that ever stop? Can it be a symptom of medication?","Since you realize that hearing voices in your head is not usual for you, then definitely there is a problematic situation happening within your awareness of who you are.if you recently started taking a new drug or increased dosage of one you already were taking, and the voices started shortly after, then yes, it is possible medication created your problem.Start by telling whoever gave you the presecription, about the problem youre having.Crazy has some flexibility as to whether someone is this way or not.Certainly a very positive sign that youre not crazy, is that youre selfaware of a problem within yourself. And, youre responsible toward yourself and making effort to address this problem.Crazy people usually dont do responsible behaviors."
"A girl and I were madly in love. We dated for over a year and were even talking about marriage and future plans together. She moved away for school, and we attempted a long distance relationship. We eventually broke up. Its been a year now, and I still havent lost my feelings for her. I still love her the same way I did. Ive suffered from depression ever since the breakup and have been unable to connect with anyone else. Its damaging me and my life.","Hi Boise, Im sorry that youve lost this love. The fact that you were planning marriage and a future tells me that you meant something very special to each other at that time. Its different now...youre not together anymore, but you cant accept this, right? Good for you for identifying that this situation is damaging your life. Youve been grieving for longer than you were together. Oh, but really youve not been grieving...youre stuck still loving her instead of moving forward. Unrequited love is a recipe for eternal heartache. Lets look at some possible blocks to moving forward.It could be that theres something unfinished for you. Maybe you felt hurt and you didnt have the chance to say so, or you felt you hurt her and you didnt have the chance to make it right. Maybe theres a burning question you need to ask or something else you need to say. Maybe you want to tell her youve never stopped loving her, and see if she feels the same way. If this is the case, you have two choices, right? You can reach out and say what you need to say, or you can stop ruminating on that question and let it go. If you reach out, theres no guarantee it will go well or that shell even respond. Maybe write her a letter and dont send it or send it...it might be worth the risk. Use the next paragraph to help you decide.Do you know how she feels? How did it end? Did she end it? Was it ended just because of the distance, or are there more differences between you that didnt work? Sometimes people are so in love that they cant clearly see that the other person isnt in love with them anymore. Use the information you have about what she wants for her life...can you honour what she says she needs? If shes asked for distance, you would do well to honour that.A key to moving forward look at your thoughts and where theyre getting stuck. Write it down. What bad thing can happen if you let it go? Or If I move forward, that will mean... Keep going...what would be the worst part of that? This kind of exploring can help you identify your stuck place.It is possible that youve turned this ending into some kind of negative meaning about you or your future. As in If this person doesnt love me, then Im unlovable, or No one will ever love me as much as she did. So your need to cling to her in your heart is your way of rejecting that negative message about yourself or the future. Can you find another way to reject that message? Try saying these things to yourselfI know she loved me. There is evidence of that.I was a good partner. There is evidence of that.Its part of life to fall in love and then have to move forward...I can do this and learn from it.Many people like me...thats how I know Im lovable.Its normal to feel sad. Im grieving a lost love.I want to move forward and not stare in the rearview mirror.I know more love awaits me if I can get fear out of the way.If this person loved me, others can too, but not if Im clinging to some old memoryThese are the kinds of things a therapist would explore with you. I wish you well!"
"Ive got so much anger. I dont know how to control myself. My girlfriend screams at me all the time, and sometime I dont know how to deal with life. Im very depressed and angry. I feel lost.","Hi Campbell River,You say you have anger but you dont mention how it shows. Or maybe it doesnt. Are you aggressive with your girlfriend? Since you mention depression, I wonder if youre bottling it all up somewhere instead of letting it show at all. If this is the case, I admire your ability to not lash out at someone whos hurting you. However, if they are totally unexpressed, anger turn inward and shift into depression. When sheyells at you, what do you do? Is this the moment that you feel the most angry? I wouldnt be surprised anger is a normal response to someone yelling at you.Something about anger...its often there to cover up our more vulnerable emotions. Under the anger I wonder if you feel worthless, powerless, scared, unloved. Part of the trick to reducing anger is identifying those other emotions and expressing them.You say you dont know how to deal with life, and I think maybe you mean you dont know how to deal with emotions. Lots of people dont! This is confusing for most of us. What am I feeling? Why is it so strong? Im afraid to express it for fear of hurting someone or falling apart, or feeling alone.... How do I know what to express and what to be quiet about?These are all great questions to ask yourself, and a qualified therapist can help you sort it all out and support you in your growth. I wish you well!"
"Ive been having this ongoing problem for most of my life now. I am a young adult, and right now, driving and even being a passenger gives me terrible panic attacks and anxiety. I cant ride in the backseat or the front seat with the safety belt on. I have to lean the seat back a bit because the pressure on my back terrifies me. I miss so many opportunities to go places with friends and family because of my fears of having a panic attack. My family offers little to no support. They think its fake or all in my head. It makes me feel guilty and at times depressed to the point where Id rather never wake up anymore. I am not selfharming, I just feel meaningless. This constant fear has taken over my thoughts and my life. I was such a happy person. I want my life back. I want to travel with my friends and family again, but I dont know how. Ive almost given up hope on getting better and just accepting the fact that Ill live with this anxiety forever.","Not having support from your family for such a significant problem, is a problem itself.How about your friends, are any of them nurturing or treat you kindly when you bring up that youve got this problem?Are any of your friends willing to accommodate the fact that right now youve got panic attacks from driving and being a passenger?Maybe being and feeling accepted while youre in this current phase of your life, would help diminish the panic attacks.If no support is coming to you, then a next step would be to evaluate the relationships in your life and to develop standards and expectations of others, especially that they are considerate of your great need at this time.Its possible you are bearing the emotional burden of a lot more people in your life than yourself.If no one wants to show they care about this situation, then release yourself from trying to please and satisfy everyones wish that you be better, while they ignore your need for their support.Be realistic in what youre able to give back to people who want to be blind to your emotional need.Thinking this way will at first raise your anxiety level from fear of losing everyone. Eventually, youll stabilize within yourself and know that all youre asking for is some support for having a tough time.Hopefully, the others will be more responsive to you.If they dont you still know that youre being reasonable for what youd like."
"I am broke, but I am sure I have been depressed for the past couple of years. I have always had anxiety. I just need someone to talk to right now. I dont have any friends or family I can talk to. Im on the verge of just giving up.",Good question. There are resources out there people to talk to. Id try going to this link and calling the free 247 hotline
"I dont know how to have emotions. I never had any from my birth. Being human, I think of myself as a monster. I enjoy pain. I cut myself for my climax during sex. I think most of the time, I lie, even when sometimes it would have been easy just to tell the truth. I was in rehabilitation for four year. I have made love with both men and women, but it made no impact in my emotions. The books that I enjoy reading H.P. Lovecraft and Edgar Allen Poe. I go hunting every Saturday. I feel powerful. I dont enjoy the killing of the creature, but the hunt of it and to eat and drink the flesh and blood of the creature.","Im not sure that you dont feel emotion or that you are frightened of the depth of your emotions.From what you write, the context of your growing up years had people telling you to not feel. Little kids and babies dont remember whether or not they had emotions since birth. This is information someone told you or was part of your family system.Possibly your family was afraid of their emotions or of you knowing yours.Similarly, your comparison of being human means being monster like, is not an obvious connection. Besides, monsters are an idea, they arent real. They embody what someone considers the worst qualities of themselves or the human species. Again, I wonder whether youve taken on stories you heard growing up about how unacceptable and bad you are.A way to start learning your emotions is to start in simple, basic ways to ask yourself what you are feeling in the situations that you believe emotions would belong.If on the first bright sunny and warm day of the year, you remind yourself to notice what youre feeling in response to this, youll be taking one step toward awareness of your emotions.If someone buys you a birthday present, be aware of how you feel. Keep adding awareness to situations and see if this builds an ease with feeling emotions."
I am on my own with my daughter. I am so worried and stressed about her.,"Your instinct to help your daughter, is natural.How you proceed depends a lot on whether she recognizes she has a psychological and emotional problem, or if only you see this from observing her.Also, her age matters a lot in what way would be most likely to succeed in addressing the problems you describe.If you and your daughter have different opinions as to whether or not she has problems, and she is above the legal age of when you have authority over her life, then you can only suggest to her that therapy may benefit her.If your daughter is in your legal control, then you can locate a counselor nearby, discuss your situation with that person, and depending on the outcome, youd be within your parenting right to take your daughter to a counselor.Starting therapy without willingness to do so, is risky. The person may feel resentful enough to not participate. And, sometimes the counselor is skillful enough to find a path to your daughter, or any patients selfinterest and engage them in therapy.Family counseling, regardless of your daughters age, is another way to bring your concerns to your daughters attention, in a therapy environment in which a counselor would be able to help distinguish the seriousness of your daughters psychological problem, from simply a difference in viewpoints between you and your daughter, in how to handle certain situations.Also, if you believe your daughter is a threat to herself, then instead of this slower route, get in touch with the emergency psychological assessment service in your town, for a more immediate response."
"I just had a newborn. When I brought him home, my mom told me to leave. Now Im in a womens home. I dont see my boyfriend that often because he works. The womens place is helping me find an apartment so I can go back to work and get child care.","Congrats on the birth of your son!Was your moms request for you to leave her house, one which she asked awhile ago or was this her greeting when you walked in the door?My question is whether your mom had some changed circumstance in her life, whether she and you discussed living arrangements prior to your sons birth, or whether nothing was talked about, you assumed youd be living with her, she assumed you wouldnt, and the two of you didnt speak to one another about any of this.Depending on the answers, there may be clues as to handling future expectations of others, especially your mom.From what you write, the womens home is supportive of your basic daily living needs. It is good news that the people who run this home know and offer community resources.In your interactions with the staff of the womens home, ask all the questions necessary so youll have a clear understanding of the apartment lease, anything at all that is on your mind about becoming employed and finding childcare.The point is to have all the major steps youre about to start, addressed.This way, youll be minimizing the possibility of any sudden bad news by the womens home, told to you.Sending lots of good luck!"
"I have experienced cycles of depression for the past four years, and it hits me harder every time it comes back. This past time, it was extremely debilitating, so I went on Wellbutrin. I could feel the effects of the medicine after the first week. A month and a half later, I decided that my depression was being caused by my own unwillingness to move forward and address my behaviors and thoughts that were keeping me in a place of despair. I became worried that the medicine was making me complacent and prohibiting me from working out what I needed to in my life to bring back true fulfillment. I stopped taking it a month ago and feel okay a lot of the anxiety it was paired with has gone away. However, I still dont feel my sense of self has been completely regained, and I have days where I feel a zombielike haze of having no interests or the ability to fully concentrate on anything. Is it better to continue letting time and good habits work out the remaining depression or should I go back on the medicine?","Deciding whether or not psychiatric medicine is a good option can be complicated, as you have noticed, and only a person who is licensed to prescribe can give you medical advice regarding medications. While there is sometimes relief from symptoms from medication, as you have pointed out, there are often negative side effects as well. While I cant give you advice on whether or not to continue medication, I would urge you to take an inventory of the positive and negative effects that you have noticed and educate yourself as much as possible about the short and longterm costs and benefits of psychiatric medication. If you can find a doctor, psychiatrist, or ARNP who is competent in mental health, it may also benefit you to consult with them.One thing that I am wondering about is, what is your support system like, in regards to your fight against depression? Are you seeing a therapist or attending any therapeutic or supportive group? While there are many things that one can do on their own to work through challenges such as depression, psychotherapy has been shown time and again in research to be highly effective and sometimes having a relationship with a caring, competent professional who understands depression and ways of helping can make a huge difference."
"At school, it feels like Ive lost all my friends, and Ive been really weird with my sleeping patterns. I used to cut myself, and I really want to again, but I change in the locker rooms because I dont want anybody to see. I get ticked off easy and overreact. At night, Im very depressed and listen to sad music and all that sort of stuff. Please help me. I just want to be happy again, and I feel like Im starting to fake a smile at school.","As silly as it may sound, making sure that we are getting the right amount of restful sleep is very important when we are feeling low. The reason for this is the lack of proper sleep significantly affects our ability to problem solve and critically evaluate our situation and can lead to a domino effect in our thinking. I know you feel that you may be losing your friendships, but what are the facts that have led to this belief? Really ask yourself, are they facts? or are they your perspective on events. In regards to your coping behaviours at night, it sounds very isolating and also very silenced. As opposed to the sad music, why not try all music, allowing yourself to experience the wide breadth of emotions that are circling within you. One of the other recommendations I would make would be to try and journal about some of those thoughts and fears in order to release them in a positively cathartic way.Some of the behaviours that you have mentioned are a bit more significant, though and I would recommend speaking with someone directly in the near future."
I think about death all the time because I feel so alone. I want someone to love and someone to love me.,"Feeling alone andor isolated is almost always associated with being depressed. As humans, we need connection and interaction with others in order to feel satisfied. Given that you are frequently thinking about death, I highly recommend that you see a mental health professional as soon as possible to help assess your immediate needs and address any underlying issues that may be contributing to your feelings of loneliness and depression.The good news is that with proper, consistent treatment and commitment to change, things can really turn around for you. A therapist can work with you on building enjoyable activities into your daily routine, change maladaptive thought patterns that contribute to your sadness, and help with exploring what has gotten you to where you are. By learning about where your sadness originates, engaging in preferred activities, and changing your thought patterns, you should begin feeling relief from the burden of depression. What will likely result, is further opportunity to find social outlets and an increased ability to connect with others.Dont give up. Create some short terms goals that you can likely achieve and make your treatment a priority and a focus. You have already taken the first step in getting better by writing to this site. Keep on this path and believe in yourself. Best of luck to you!"
"My fiance suffers from severe anxiety and depression. She has had it most of her life. Her anxiety in public places is the worst. It gets to points where she cant breathe or move. Sometimes, she wont even go to the restroom, so she will hold in her pee until her stomach hurts or she pees herself. She curls up in corners at the mall and has panic attacks. She wont eat or drink in public. If she isnt having a panic attack or crying, shes clinging to me and avoiding everything and everyone. Her depression flares up out of nowhere and causes her to become very suicidal and selfharming. She get really sick from anxiety and scared to the point that I cant even get her to eat, drink, leave the bed, or go outside. She always tells me how she grew up around so much fighting and fear that it makes her scared of loud sounds, yelling, conflict, and even talking to strangers in public. She will refuse to go to a store unless I am with her to talk to the cashier for her. She is so scared that I cant even get her to drive. She doesnt want to get her license because shes scared of trying to drive. Some people have recommended medication, but I believe its just going to cover up her illness and not solve it. I dont want my fiance pumped with drugs. I believe a psychiatric service dog would be the best bet for her. When we first met my poodle, it would calm her down a lot. She took the dog out every time we went out, and she seemed much calmer and happier. She slowly would eat, and the dog seemed to make her feel a lot better. I am worried and want to help her without medication.","It sounds like you have been a positive support for your fiancee. There is no doubt that this situation is a great challenge for the both of you. While it may feel like you are responsible for her health and happiness, it is important that you understand that you, on your own, wont be able to resolve her mental health issues. Based on what you have explained, it sounds like she needs to get a medical andor psychiatric evaluation. Whether or not she decides to take medication is her and your decision, but keeping an open mind about treatment options is important. I suggest that she see a therapist on her own in order to better understand and cope with her anxiety and depression, especially given her suicidal thoughts. You would also likely benefit from therapy, individual or couples therapy, in order to address how you are feeling andbest learn how to support her and your relationship. I wish the very best for both of you and hope that things will improve sooner than later."
Im unemployed just relocated. I cant get approved for a place to live because of past mistakes which follow me to this day. Im depressed and on the verge of loosing my partner because Im overwhelmed and have trouble functioning on a daily basis. I see no light at the end of this tunnel and need some help. I see no point in this chaos infested joke some call life.,"It sounds like you are feeling like things are hopeless and out of control and youre not sure what to do about it. If you can find a competent therapist to work with, together you may be able to come up with some strategies for alleviating the overwhelming distress that you are experiencing and gain some insight into what may be contributing to these challenges. Additionally, a therapist may be able to support you in getting back on your feet in regards to work, a place to live, and showing up with your partner in a way that will be more satisfying to you."
"Im supposed to stay here the rest of my academic life, but Ive never liked it here, not even before I came. Ive never felt like I belong, Ive missed my country every second in the past four months, and Im just miserable. Im gaining weight, doing nothing, and crying for hours straight. Is it time to go back home or is it just culture shock?","It sounds like you are feeling very unsure and out of place and the prospect of continuing to feel as you do now for the remainder of schooling seems daunting. Without getting to know more about you and your experiences here and at home, it is hard to say what you should do, however, I think exploring these things with a competent therapist may help you to discover the answer."
"I am in high school and have been facing anxiety issues lately. Whenever I get close to being in a relationship, some kind of anxiety takes over and keeps me from the relationship. This anxiety causes me depression at times and even makes me want to vomit. While a semirelationship should be joyous, for me, its an emotional nightmare I cant get to the bottom of. Ive had this before and had to leave the semirelationship to avoid throwing up every time I made contact with my crush. What could be the reason behind this? Is it massive nerve problems? Is it a fear of a bad relationship? While Im not quite ready to be in one anyway, I want to get to the bottom of this for a brighter future in which I can be in one. I dont take medications and have no desire to, I have read forums, and Ive talked about the issue with my sister who has faced similar problems.","Hi Helena,I felt a bit sad when I read this. This is a new term for me... semirelationship. What does it mean? I know that todays culture for young people is more of a hookup culture than a dating one. Maybe that means that you develop connections to people but you keep yourself from hoping for a full relationship because no one is doing that anymore. That makes me feel sad. I hear a lot of young women Im not sure youre female, but thats my guess say that they struggle with hookups because they cant let themselves hope for a phone call after a hookup. Research tells us that, after a hookup, college age women tend to feel used and unworthy, and men tend to feel guilty. I think this scenario works better for men than women, but many of both genders are left unsatisfied in the end.This is only one possible explanation for your anxiety...that your gut knows that it wants to feel fully coupled with someone but you struggle with whether its okay to want or expect that.Maybe take a moment and listen to anxiety. Anxiety tends to try to convince us that somethings wrong with us or something bads going to happen. Anxiety sometimes prefers to stay vague its more difficult to refute it then, but you can try to clarify its whisperings by asking yourself these questions What am I afraid of? What is the worst thing that might happen here? Then what might happen, and what would be the worst part of that? Keep going until you find the very worst thing that might happen? Might someone not want you...might you feel rejected...or feel not good enough...you might get hurt?Then when you find that core fear, you can look at your life and I bet youd find a place where that idea or fear originated. A big moment or many smaller ones when you actually DID feel or get rejected or abandoned or hurt. In the end, its a feeling youre trying to avoid not life or relationship, and anxiety is trying to help you avoid it by making you overcautious. But this doesnt work for you! Good! With the help of a qualified therapist, you can learn to talk back to anxiety and move forward in life and love with calm. confidence."
"I just got out of a two year relationship. I broke up with my boyfriend because he wasnt showing any affection at all. He was talking to other women and lying about it. It pushed me away and hurt me, but Im still in love with him. A couple days after our breakup, he was talking to someone new. He told me he wasnt sure if he loved me. I cried for several days, lost my appetite, and couldnt sleep. Our whole relationship was only us. We didnt have friends. It was me and him against the world. We didnt talk to anyone else because we only wanted to talk to each other. We hung out constantly and Skyped to sleep every single night. Then, when I cut myself, we talked on Skype. He cried and told me Im still in love with you, I never stopped loving you, and I cried tears of joy. I asked multiple times if he loved me and asked to make sure he wasnt just saying that because of me being so depressed. He promised and assured me he loved me. He came over after that, and we had sex because he wanted to. He went the home that night and told me he didnt love me, and he lied because he was scared. He told me I wasnt attractive, I wasnt beautiful to him, and that I changed. He also told me he was 100 sure hed never love me again. Im still in love with him. Why do I love him? How do I stop? Just knowing that someone else is with him hurts me. That I wasnt good enough and that Im no longer beautiful hurts me. I think I need a therapist, but dont know if I should.","I am very sorry for the pain you are suffering. Losing the mostsignificant person in your life is extremely painful and breakups are often equated to a death. There will certainly be a grieving process that you go through and time passing will allow the hurt to subside. With that being said, seeing a therapist is highly recommended as it sounds like continuous supportmay be necessary for healing to take place. Anytimesadness causes thoughts of suicide or self harm, it is important to get help immediately.A therapist can help you by validating your feelings and what you are goingthrough, while also working with you to move through the grieving process, adopt new hobbies, social outlets, and goals for your future. While starting over and trying out new ways of being may seem like a daunting task,it will only make things easier and give you asense of hope and purpose for your future. With the new year right around the corner, this could be viewed as a good time and opportunity to get reaquainted with yourself and set goals relatedto living a more fullfilling life. Hang in there. Witha support system in place and a healthy mindset, things can only get easier.Best of luck to you!"
"A friend of mine taking psychology advised I go to my doctor to check if I have major depressive disorder. Im afraid of the consequences of doing so. If I do become diagnosed with major depressive disorder, wont that go on my records? I will never be able to become a counselor along with a list of other things I may be prohibited from. Im also afraid of taking any antidepressants. This year, my doctor gave me some for a dislocated hip. I had a severe reaction and passed out moments after taking them. Everyone I know who has taken antidepressants says its a bad idea all around and youre better getting treatment without them. Im concerned they might take me to a clinic and force me to take medication because I am unable to make decisions on my own. Im not really suicidal, but I am not really taking care of myself either. Someone also told me they still use electroshock therapy. Im not keen on that. Im wondering if I am better off just getting selfhelp and working things out on my own. Its just that Ive been an emotional mess since I was in elementary school. Ive graduated now and tried to stay positive and be happy, but I cannot deny I still am not good.","I admire your courage for stating your view about antidepressants. Questioning mainstream thinking and being in touch with your own views, are signs of strength and clarity in a person.As a therapist, I always tell my patients to avoid antidepressants.Their effectiveness is in suppressing a persons mood and feelings. If someone does not know how they are feeling, then they will have more difficulty in understanding themselves, their uncertainties and hesitations, and overall, how they relate to others and what they expect from others.Antidepressants mask how someone feels.In a crisis, temporarily taking antidepressants may be helpful. If someone is so overwhelmed that they are not functioning, then suppressing unhappy feelings so that the person can get through a day, may be of benefit for a short while.Basically, respect and follow your own opinion about antidepressants. Your view is shared by many. It is a minority opinion, and very valid.If you would like to shop for a therapist, ask the person on the phone, what their opinions are about antidepressants.Ideally, you will eventually find a therapist who thinks in a way which is similar to you, or at least similar enough that you will have a sense that you are able to trust working with them on whatever you define as problematic.I hope you will have an easy and productive therapist search!"
"I have no real friends. I have a girlfriend who irritates me but loves me to death. I push her away and pushes me away. Were going through a breakup, and I have nobody.","Having time all to yourself may be necessary so you have time to reflect on your own identity and values, become more clear on what matters most to you, and with this increased selfunderstanding, be able to attract people who will feel like satisfying friends.Having a relationship with someone whom you push away and are pushed away, with someone who is irritating, seems to have limited benefit for each of you.Maybe you are together from fear of being alone, and being alone is exactly what you may now need in your life in order to draw more favorable people to you."
"Ive been hospitalized twice. Once was last month for psychiatric help. Im on medicine, but Im struggling with fighting the negative thoughts, irrational fears, and loneliness. The people around me arent helping much.","If you are someone who usually has a job, pays or contributes to household bills, and generally manages your own daily life, then here are some suggestions.Start with small changes in your life so that you will feel successful in developing little areas of personal happiness.Since the people whom you currently are in your life arent helping much, consider branching out your life so that you are with those with whom you do feel help you.Follow your natural interests. If you like reading, look online for a local book club. If you like watching birds, look up a bird watching group.Social isolation increases the intensity of negative feelings.Also, the way healthcare is set up in the US, psychiatrists spend 15 minutes asking a person questions and then giving them a pill script. There is almost no human interest in the person.If youd like feeling better as a person, then find people. Relying only on our mental health system will keep you feeling low and unsteady.If your life is a little more sheltered and you are in a group home setting or your basic needs are taken care of by someone or some organization, then similar advice is still valid.Find and participate in whatever human settings which appeal to you and are available on a somewhat regular basis."
"Im going through a divorce with my wife of three years, who Ive known since the 4th grade and been involved with for seven years! We just had a baby seven months ago and never got along with my mother, who Ive lived with for years. I am now back with my mother because I have nowhere to go with this divorce looming. Im heart broken because I fell into a depression, I havent seen my child in a while, Im having good and bad dreams, and I feel hated. Can you help? Can you intervene? Can I speak with someone?","Its hard to accept the end of a marriage when its not your choice you feel powerless, abandoned and unwanted. Your wife has the right to decide not to be in a marriage with you, and a therapist can help you accept and move through this change that has broken your heart and left you lost. You dont indicate why you havent seen your child, and you may want to consult with a lawyer about the laws in your area and how to gain access to your baby. Therapists dont intervene in these ways. The marriage may be ending, but your role as a loving father is only beginning. You can focus on giving your child the gift of two parents who respect each other."
"I have been diagnosed with ADHD and experienced manic depression episodes. I have problems with anger management. Apparently, I also have an ODD, bipolar and split personality. How can I be truly happy?","The ADHD and manic depressive episodes are terms other people told you that you have.You dont have to accept these words to describe who you are.A lot of mental health in our country is about telling people whats wrong with them and giving pills for these so called conditions, instead of helping a person know more about themselves in order to make good decisions.You can be happy because nothing from the outside, such as the names people have used to tell you who you are, can interfere with your own wish to be happy.Others can slow you down because of the selfdoubt and hurt feelings. No one can take happiness from you, only they can make it harder to find and hold onto.Anger management only works temporarily because it is a surface approach.Think of the reason you are angry. This will be better to know so you will be able to address it.Then you will not have anger to manage."
"I was married to a narcissist sociopath for 10 years. During that time I was a general manager. I used to help him financially and in other ways when we were together. But things began to change. He emotionally and sexually drained me. I lost my spirit. I used to be a very happy person but now I am a loner. I left him and moved to another state. Currently, Im working as a server which makes me believe less in myself. I feel pity for myself a lot but dont know what to do. When I have money problems, he does not help me. He actually enjoys seeing me have a hard time in my life. I need help.","Congratulations on leaving your marriage!It is ok and natural to feel sadness, loss, uncertainty in direction, hurt, resulting from ending the marriage.Possibly what you consider pity is a combination of these feelings.Be kind and caring toward who you are since you just put yourself through a major separation and need time to clear out the old emotions that connected you to your ex.There is very, very little chance of him helping you since he lacks compassion and empathy.More likely any help he gave would be in order to manipulate you.Maybe for now your server job is ok do you have more time to concentrate on taking care of your emotions.You were a manager once, you can be a manager again when you feel ready for doing so.Good luck!"
I always feel like Im not good enough and it literally is so hard living. I dont know how to talk to my parents about it.,"Are you a teen? This is a really hard problem for more teens and adults than let on. When I was about 15, I remember asking my parents friend, Herman, whether life gets any easier when you get older. He said the problems are actually harder, but you gain the ability to deal with them better. Ive been an adult a long time now, and that is so true.If you need someone to talk to, consider a teacher or a school guidance counselor or someone you respect, maybe in church. If theyre good and they dont know how to help you, they may know how to get you to someone who can. Also, the idea of not being good enough is a common psychological event. In CBT its called a core belief, but I call it a core lie in my book, Living Yes, a Handbook for Being Human. If you are serious about changing yourself, read about it at www.LivingYes.org and pick up a copy there or on Amazon. I hope this was helpful. The future is filled with possibility if we dont prejudge it! Mark www.MarkMorrisLCSW.com and www.LivingYes.org"
I have manic depression and last summer was very very bad. I have recurring nightmares and I avoid anything that will give me a similar feeling as I did that summer.,"A PTSD diagnosis requires an event which occurred at least 6 months prior to the symptoms. Depression is a common symptom of PTSD, but depression can come from many other sources as well. In the end, diagnoses are systems of behavioral labels. If you believe that one label PTSD is worse than another Depression, you are creating a false hierarchy. Consider consulting a CBT therapist, such as the fine clinicians listed in AcademyofCT.org. You may also want to look at my book, Living Yes, for many ideas about challenging your thinking and improving you mood. www.LivingYes.org.I hope you feel better soon. Mark www.MarkMorrisLCSW.com and www.LivingYes.org"
"My doctor thinks that seeing a psychiatrist will help with my depression and anxiety. Now my anxiety is worse, what do I do? Writing on here has taken every bit of strength I have left.","Did you take the medication the way the psychiatrist prescribed it? Did you follow up with herhim to report how it was going? Different medications work differently with different people. Its not always the first one that helps. And some of the medications take some time to have an effect. Give the doctor the chance to help you.I suggest you find a certified CBT therapist to help you examine your thinking. www.AcademyofCT.org has listings of the finest CBT clinicians. In the meantime, do some anxiety fasting by taking a few minutes to do something nice for yourself right now. I hope you feel better soon. Mark www.MarkMorrisLCSW.com and www.LivingYes.org"
I am always down and out. Could this be postpartum depression?,"Probably. I always tell the new parents I work with and this is just as true for dads as it is for moms that if you are feeling off, seek help. Postpartum Support International www.postpartum.net is a great place to start finding resources and locating support."
"My last relationships have ended horribly. They just up and abandoned me. One of them I have never gotten closure with over it, leaving me emotionally wrecked. I know somethings wrong with me but I dont know how to even start trying to better myself. I get into these depressed like states whenever anyone I care about is too busy to be with me. I know that I shouldnt act like that because people are genuinely busy, but I feel like theyre doing it just because they dont want to be around me.","Frequently when working with clients, I utilize the ABC model developed by Albert Ellis, the founder of Rational Emotive Behavior Theory. The theory basically states that you can not control an event but you can control your reaction to the emotions associated with said event. For instance here is an exampleA Action or Event You need to talk to someone and that person is not calling you back.B Behavior or Response You begin to tell yourself that this person is too busy for me or I am not important to this person.C Consequence You feel depressed.If you look at the model, B has a direct effect on C. The thought is if you change your reaction to A, then C will have a better consequence, such asA stays the same.B this is what you change This person must be busy, they will call me back when they get a chance or I can call someone else to lean on for support until this person is available.C Decreased feelings of depression overall functioning improves.This is just an example but if you actively work to replace the negative thought patterns that effect your behavior, studies show that your overall outlook and mood will improve. If this model resonates with you, I recommend Feeling better, getting better, staying better by Alber Ellis. In addition, looking for support groups in your area are a great source of support when you are feeling abandoned or alone."
"I dont know whats wrong with me. At times I can be really happy, excited, Ill talk fast, and I want to do things. But lately Ive been staying up way later and sleeping too much. I dont hang out with friends, I dont really have them. I feel nothing, worthless. I want to do nothing, I have no interest in anything. All I usually do is stay in my room. I want to be happy, I want to be nice. Whats wrong with me?","Im sorry to hear that you are feeling as if youre in a slump. First of all, nothing is wrong with you. Many people report similar symptoms. Have you ever talked with a physician regarding your symptoms? Two extreme emotions such as feeling extremely happy and then feeling extremely low for a length of time may indicate a mood disorder. I think it would be best to talk with your doctor or a therapist to help pinpoint the issue causing them.Its possible that it could just be certain stressors in your life that are causing the two extremities but you definitely want to rule out any mental health issues. If it is in fact mental health related there are many medications or therapy choices that can help.Thanks for reaching out! I hope that you will feel back on track soon!"
"Ive have lived for sometime with depression but things have gotten a lot better, but why is it so hard to get over anxiety and social isolation?","The best way to handle depression and anxiety is with a combination of appropriate medication given to you by a medical doctor, and therapy to help you understand the thoughts, feelings, and behaviors that are causing the depression and anxiety in the first place and then to replace these with more positive thoughts and behaviors. This is not something that anyone should just white knuckle and try to get through on their own with no help. Cognitive Behavioral Therapy is a technique that has been proven helpful for depression and anxiety. This takes a therapist trained in CBT.There are some things in life that you cannot change and must learn to accept. A lot of people spend time trying to change things that they have no control over. This may be the behavior of someone else in your life or it could be a situation that you cannot change, such as the recent death of a loved one, a lost relationship, or an accident or illness which has left you handicapped. In cases like this, what can change is your attitude and thoughts about the situation that you now find yourself in. One thing that is inevitable about life is that stuff happens and it is not always pleasant. Some people take these unpleasant occurrences very hard and it throws them into a deep depression. Other people seem to be able to handle lifes ups and downs and bounce back. They do this with having positive coping skills in their life. Learning new coping skills is something your therapist can help you with.A lot of people are so focused on trying to change the things in their life that they cannot change and are ignoring the things that they can change. There are things that you can do. Here is a quote for you to consider. You are getting almost everything that you are getting based on the choices that you have made. You will continue to get the same thing out of life until you make some changes. Another quote I like is You will find a way or you will find an excuse. Dont ever say that you have no choice. Everyone has a choice. You might not particularly like any of the choices that you are facing, but you do have choices. Not happy in a relationship? You can leave it. Hate your job? Get a new one. If it matters to you, you will find a way. Dont sit there complaining about everything but not doing anything different or better.Take care of yourself. Exercise is very important not only for your physical health, but for your mental health as well. Eating right and exercising will help you feel better about yourself. Also, find a meditation that works for you. There are progressive muscle relaxation exercises, visual and mental meditations, and many many more. Start making some positive changes in your life today! You can do it!"
